symbol,current_price,open_price,day_high,day_low,total_volume,price_change_pct,rsi_approx,sma20,support_level,resistance_level,bb_upper,bb_middle,bb_lower,bb_position_pct,bb_position,trend_signal,momentum_signal,technical_score,setup_type,risk_level
DEEPAKFERT,1441.8,1442.0,1451.3,1428.7,27119.0,-0.01,94.23,1438.5444444444443,1409.7735555555553,1467.3153333333332,1445.9049482229238,1438.5444444444443,1431.1839406659647,72.12,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
SHRIRAMFIN,590.1,590.05,591.2,587.3,480192.0,0.01,80.89,589.4472222222223,577.6582777777778,601.2361666666668,591.560438382411,589.4472222222223,587.3340060620336,65.45,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
SBICARD,799.2,799.1,799.5,794.75,29315.0,0.01,129.96,797.8097222222223,781.8535277777778,813.7659166666667,799.5484934541057,797.8097222222223,796.0709509903388,89.98,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
JKLAKSHMI,945.1,945.05,945.95,930.5,10180.0,0.01,122.81,940.4666666666667,921.6573333333333,959.2760000000001,946.8301787248218,940.4666666666667,934.1031546085115,86.41,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
NMDC,73.73,73.74,73.82,73.41,1123664.0,-0.01,149.85,73.59138888888889,72.11956111111111,75.06321666666666,73.73021274668021,73.59138888888889,73.45256503109756,99.92,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
CHOLAFIN,1469.2,1469.3,1473.5,1463.5,60670.0,-0.01,76.04,1467.9194444444445,1438.5610555555556,1497.2778333333333,1472.83793885855,1467.9194444444445,1463.000950030339,63.02,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
KSB,817.95,818.0,819.95,811.55,6095.0,-0.01,110.46,815.7569444444447,799.4418055555558,832.0720833333336,819.3839977764231,815.7569444444447,812.1298911124662,80.23,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
GSFC,216.9,216.85,218.2,215.65,223758.0,0.02,52.56,216.87833333333333,212.54076666666666,221.2159,217.72384585752883,216.87833333333333,216.03282080913783,51.28,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
HCLTECH,1449.3,1449.0,1452.3,1444.7,136482.0,0.02,98.38,1448.0111111111112,1419.050888888889,1476.9713333333334,1450.6750621092783,1448.0111111111112,1445.347160112944,74.19,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
MAXHEALTH,1166.5,1166.1,1169.9,1159.3,191604.0,0.03,89.87,1165.0472222222224,1141.746277777778,1188.3481666666669,1168.6906071824283,1165.0472222222224,1161.4038372620166,69.94,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
SAIL,128.33,128.38,128.73,127.66,834884.0,-0.04,52.94,128.3205555555556,125.75414444444448,130.8869666666667,128.64165881244864,128.3205555555556,127.99945229866255,51.47,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
MAHABANK,52.23,52.25,52.43,52.02,502209.0,-0.04,107.56,52.158888888888875,51.115711111111096,53.20206666666665,52.28243439493216,52.158888888888875,52.03534338284559,78.78,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
TATACHEM,943.15,942.8,945.45,936.0,39941.0,0.04,61.36,942.9152777777779,924.0569722222223,961.7735833333335,944.9808900279967,942.9152777777779,940.8496655275591,55.68,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
ACC,1838.7,1839.4,1845.7,1825.7,26533.0,-0.04,114.78,1835.5333333333338,1798.8226666666671,1872.2440000000004,1840.4215699420565,1835.5333333333338,1830.645096724611,82.39,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
KPRMILL,987.6,987.2,990.4,979.45,13084.0,0.04,118.63,984.9430555555557,965.2441944444446,1004.6419166666668,988.8147220684803,984.9430555555557,981.0713890426312,84.31,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
WIPRO,246.8,246.69,247.32,245.83,613235.0,0.04,100.96,246.51277777777776,241.5825222222222,251.44303333333332,247.07641111575785,246.51277777777776,245.94914443979766,75.48,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
ZENSARTECH,783.35,783.0,784.0,773.05,42370.0,0.04,158.72,780.4624999999997,764.8532499999998,796.0717499999997,783.1183157208014,780.4624999999997,777.8066842791981,104.36,ABOVE_UPPER,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
ZEEL,115.8,115.85,116.04,114.8,847232.0,-0.04,129.46,115.4002777777778,113.09227222222225,117.70828333333336,115.9033537132243,115.4002777777778,114.8972018423313,89.73,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
UPL,699.6,699.9,700.9,695.45,148125.0,-0.04,107.64,698.3722222222223,684.4047777777778,712.3396666666667,700.5022047096679,698.3722222222223,696.2422397347766,78.82,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
PCBL,378.5,378.65,379.75,375.55,49256.0,-0.04,76.78,378.1069444444444,370.5448055555555,385.66908333333333,379.5747227028585,378.1069444444444,376.63916618603037,63.39,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
SUNDRMFAST,1025.0,1024.5,1026.5,1014.5,4873.0,0.05,127.18,1021.1833333333333,1000.7596666666666,1041.607,1026.1286341330824,1021.1833333333333,1016.238032533584,88.59,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
SBFC,106.63,106.57,107.15,105.04,165270.0,0.06,99.59,106.16527777777779,104.04197222222223,108.28858333333335,107.10236732813934,106.16527777777779,105.22818822741624,74.8,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
APTUS,333.4,333.6,334.3,331.25,752053.0,-0.06,112.51,332.9125,326.25425,339.57075000000003,333.6923809432948,332.9125,332.13261905670527,81.25,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
GRINDWELL,1602.0,1600.9,1603.9,1583.2,1421.0,0.07,109.15,1595.3388888888885,1563.4321111111108,1627.2456666666662,1606.6002795949657,1595.3388888888885,1584.0774981828113,79.57,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
MEDANTA,1419.9,1418.9,1437.9,1405.5,37619.0,0.07,120.3,1414.9222222222222,1386.6237777777778,1443.2206666666666,1422.002675978644,1414.9222222222222,1407.8417684658004,85.15,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
ANANTRAJ,536.45,536.8,538.3,532.9,105392.0,-0.07,54.02,536.375,525.6475,547.1025,538.2419302534986,536.375,534.5080697465014,52.01,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
MINDACORP,505.6,505.25,506.55,501.7,7420.0,0.07,128.79,504.16249999999997,494.07924999999994,514.2457499999999,505.9869960165168,504.16249999999997,502.33800398348313,89.39,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
SHYAMMETL,924.1,923.45,927.9,916.5,11715.0,0.07,95.63,922.1208333333333,903.6784166666666,940.5632499999999,926.4578747870697,922.1208333333333,917.7837918795968,72.82,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
BANKINDIA,112.74,112.83,113.03,112.39,445819.0,-0.08,57.15,112.71638888888887,110.4620611111111,114.97071666666665,113.04665813931611,112.71638888888887,112.38611963846164,53.57,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
HINDCOPPER,243.94,243.75,244.49,242.0,259634.0,0.08,106.46,243.36111111111111,238.49388888888888,248.22833333333335,244.38644481598442,243.36111111111111,242.3357774062378,78.23,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
ASHOKLEY,130.22,130.12,130.59,128.24,3304823.0,0.08,124.21,129.81027777777774,127.21407222222219,132.4064833333333,130.3623540895031,129.81027777777774,129.25820146605238,87.11,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
BDL,1443.0,1444.1,1447.0,1430.0,103603.0,-0.08,86.22,1441.3111111111111,1412.484888888889,1470.1373333333333,1445.9736126537298,1441.3111111111111,1436.6486095684925,68.11,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
NH,1835.5,1833.8,1837.1,1810.8,26284.0,0.09,103.31,1827.75,1791.195,1864.305,1842.2877931121413,1827.75,1813.2122068878587,76.65,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
CREDITACC,1361.6,1363.0,1363.0,1345.5,13145.0,-0.1,128.54,1354.3805555555557,1327.2929444444446,1381.4681666666668,1363.5730766702688,1354.3805555555557,1345.1880344408426,89.27,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
MOTILALOFS,871.8,870.9,877.15,865.8,128972.0,0.1,66.74,871.0152777777777,853.594972222222,888.4355833333333,875.7025139079169,871.0152777777777,866.3280416476384,58.37,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
TATATECH,679.5,678.8,680.6,676.2,58497.0,0.1,124.93,678.2291666666666,664.6645833333333,691.7937499999999,679.925107197969,678.2291666666666,676.5332261353642,87.47,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
HINDZINC,440.95,440.5,441.8,437.7,131516.0,0.1,71.51,440.77083333333337,431.9554166666667,449.58625000000006,441.6038570853528,440.77083333333337,439.93780958131396,60.75,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
PHOENIXLTD,1509.2,1507.7,1513.4,1501.0,36424.0,0.1,123.69,1505.7944444444443,1475.6785555555552,1535.9103333333333,1510.4156241193,1505.7944444444443,1501.1732647695885,86.85,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
TECHM,1504.5,1506.0,1507.4,1498.0,83685.0,-0.1,115.91,1501.9722222222224,1471.932777777778,1532.0116666666668,1505.8072818749113,1501.9722222222224,1498.1371625695335,82.96,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
POWERGRID,284.4,284.1,284.95,282.35,1214688.0,0.11,50.28,284.3986111111111,278.71063888888887,290.08658333333335,284.8870407294426,284.3986111111111,283.9101814927796,50.14,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
IFCI,52.62,52.56,52.74,52.07,464484.0,0.11,121.21,52.40694444444446,51.35880555555557,53.455083333333356,52.70615557656909,52.40694444444446,52.10773331231984,85.6,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
RCF,160.96,160.78,161.88,159.2,550405.0,0.11,70.69,160.73722222222224,157.5224777777778,163.9519666666667,161.8139220595411,160.73722222222224,159.66052238490337,60.35,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
POLICYBZR,1853.0,1851.0,1878.7,1835.7,204636.0,0.11,61.15,1852.002777777777,1814.9627222222214,1889.0428333333327,1860.9485172088278,1852.002777777777,1843.0570383467264,55.57,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
ADANIGREEN,932.05,933.2,934.9,929.15,92701.0,-0.12,56.89,931.9138888888889,913.2756111111111,950.5521666666667,933.8899760921572,931.9138888888889,929.9378016856206,53.44,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
CENTURYPLY,793.85,792.9,795.15,784.15,7291.0,0.12,100.16,791.6375,775.80475,807.4702500000001,796.0486789807261,791.6375,787.226321019274,75.08,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
VGUARD,365.85,366.3,368.7,362.8,16073.0,-0.12,64.04,365.5402777777779,358.2294722222223,372.85108333333346,367.74647935443073,365.5402777777779,363.334076201125,57.02,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
HAVELLS,1581.9,1584.0,1589.8,1574.1,60822.0,-0.13,103.16,1580.075,1548.4735,1611.6765,1583.5077415116368,1580.075,1576.6422584883633,76.58,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
ICICIPRULI,603.3,604.1,610.0,600.45,112997.0,-0.13,59.24,603.0861111111111,591.0243888888889,615.1478333333333,605.3997490765069,603.0861111111111,600.7724731457154,54.62,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
NEWGEN,899.7,900.9,903.2,893.95,38140.0,-0.13,95.01,898.1138888888886,880.1516111111108,916.0761666666664,901.637654010874,898.1138888888886,894.5901237669032,72.51,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
FINPIPE,216.79,217.08,217.99,214.6,39570.0,-0.13,74.97,216.50222222222226,212.17217777777782,220.8322666666667,217.65459231268662,216.50222222222226,215.3498521317579,62.49,MIDDLE,BULLISH_TREND,NEUTRAL,7,UNKNOWN,UNKNOWN
